username,tweet_date,tweet_text,tweet_link,media_exists
@DANIWAY60528284,"Jun 28, 2023 · 11:52 PM UTC",😤😤😭😭😭 retweet’s if you like this #emeutes #مسلم_يقبل_الأيادي #Ashawo #EidMubarak #Essence #davido #Anita,https://twitter.com/DANIWAY60528284/status/1674204160525205505?s=20,True
@geenamoore,"Jun 28, 2023 · 11:57 PM UTC",How to cook 4 bags of rice to perfection piped.video/kUCeI7tnvF8 #gistlover #emeutes #jollofrice #nigerianjollof #ghanajollof,https://twitter.com/geenamoore/status/1674205513083506689?s=20,True
@yungmerri_,"Jun 28, 2023 · 11:57 PM UTC",NEW SONGGGG PREVIEWW #FiveNightsAtFreddys #emeutes #GlazersOut #GlazersOut #gistlover,https://twitter.com/yungmerri_/status/1674205318983606273?s=20,True
@Asdepique9351,"Jun 28, 2023 · 11:44 PM UTC",HAPPY BIRTHDAY TO YOU @PoliceNationale #emeutes #JusticePourNael,https://twitter.com/Asdepique9351/status/1674202158449713152?s=20,False
@JessicaSidgwic1,"Jun 28, 2023 · 9:08 PM UTC","#Toulouse, Quartier de la #Reynerie le 28 juin 2023 by Jessica Sidgwick #Emeutes #Nanterre #Nael #DarmaninDemission #ToutCramer #PoliceNationale #Policedelahonte #LaPoliceTue #LaPoliceMent #Mirail",https://twitter.com/JessicaSidgwic1/status/1674162832806498305?s=20,True
@mvalet_officiel,"Jun 28, 2023 · 11:30 PM UTC","Des #emeutes graves ont eu lieu au commissariat de #DammarielesLys (77)!
Des émeutiers ont réussi à pénétrer à l’intérieur et ont brûlé des véhicules de #Police.
A cette heure, de nombreux guets-apens sont lancés à #Nanterre et partout en #France.
Soutien aux collègues.
#Nahel",https://twitter.com/mvalet_officiel/status/1674198585993224192?s=20,True
@mixter_f,"Jun 28, 2023 · 11:47 PM UTC",American Nightmare bonsoir #emeutes,https://twitter.com/mixter_f/status/1674202777327742976?s=20,False
@ferozwala,"Jun 28, 2023 · 11:34 PM UTC","The town hall of Mons-en-Baroeul (59) stormed and ransacked. The police helmets were stolen. Total chaos in the metropolis of Lille #Nanterre #Emeutes 
#Nahel @AnonymeCitoyen #France",https://twitter.com/ferozwala/status/1674199708573782016?s=20,True
@ferozwala,"Jun 28, 2023 · 11:37 PM UTC",The Dammarie-les-Lys police station (77) stormed and police vehicles were set on fire #Nanterre #Nahel #emeutes @AnonymeCitoyen #France,https://twitter.com/ferozwala/status/1674200387623198720?s=20,True
@LaureLavalette,"Jun 28, 2023 · 11:45 PM UTC","Cette nuit, les criminels se déchaînent contre les services publics, la police, les transports, les institutions. 
Ils attaquent la France et les Français, abandonnés par Macron et son gouvernement.

Soutien total aux forces de sécurité et de secours. #Nanterre #émeutes",https://twitter.com/LaureLavalette/status/1674202384866631681?s=20,False
@PasaranTv,"Jun 28, 2023 · 11:08 PM UTC","Eat the Rich and ACAB 

#emeutes #Nael #Nanterre",https://twitter.com/PasaranTv/status/1674192973561487360?s=20,False
@NMeizonnet,"Jun 28, 2023 · 10:52 PM UTC","Des #émeutes violentes dans de nombreuses villes de France aux cris de “Allah Akbar""!
À travers toute cette violence, ce sont nos institutions et notre pays qui sont attaqués.
Qui peut tolérer ça ?
Tout mon soutien aux forces de l’ordre.
#Nanterre #Nahel",https://twitter.com/NMeizonnet/status/1674188952679456770?s=20,True
@NoosKol,"Jun 28, 2023 · 10:22 PM UTC",on revit 2005 #emeutes,https://twitter.com/NoosKol/status/1674181529080135680?s=20,False
@Emma_oluwa06,"Jun 28, 2023 · 11:20 PM UTC","I'm really optimistic about having 11k followers, Here's my Profile, I share vital informations about market trends and technologies. 

Kindly follow me, I'll follow back
twitter.com/Emma_oluwa06?t=U…

Anita Victoria Ivanka #secretinvasion Davido Israel Elon musk Ethereum Anna #emeutes",https://twitter.com/Emma_oluwa06/status/1674196201984385025?s=20,False
@chaotic_dean,"Jun 28, 2023 · 10:12 PM UTC","JUSTICE POUR NAHEL

#Nael #emeutes #JusticePourNael",https://twitter.com/chaotic_dean/status/1674178954922541057?s=20,False
@cryptfr,"Jun 28, 2023 · 11:20 PM UTC","J'allume le live Facebook de Brut, on entend des ""mort aux juifs"" #nanterre #emeutes (cc @Bruno_Attal_ @DamienRieu)",https://twitter.com/cryptfr/status/1674196141578022912?s=20,False
@PaulMelun,"Jun 28, 2023 · 11:21 PM UTC","Ce soir en ouvrant la fenêtre dans les Hauts-de-Seine, on entend des explosions de mortiers, on voit des colonnes de fumée tandis que les sirènes de police retentissent. 

Ça n’est pas l’idée que je me fais d’un pays en paix. 

Courage aux pompiers et aux FDO. #emeutes",https://twitter.com/PaulMelun/status/1674196257152069633?s=20,False
@Nicomay,"Jun 28, 2023 · 11:17 PM UTC","La révolte des cités continue de toucher #Montreuil. 

La deter’ et l’organisation sont impressionnantes ! Pour l’instant, la #Police (en petit comité) est tenue à distance. 

Le mot d’ordre « #JusticepourNahel » raisonne un peu partout… #Nahel #LaPoliceTueToujours #emeutes",https://twitter.com/Nicomay/status/1674195354105815040?s=20,True
@antoineelieGZ,"Jun 28, 2023 · 11:30 PM UTC","“Il est plus que temps d’agir contre ces ennemis qui, depuis notre propre sol, attaquent la #France” Éric #Zemmour

👉Ce soir les émeutiers ne rendent pas hommage à #Nahel. Ils ont trouvé un prétexte pour détruire la France !

#Nanterre #emeutes twitter.com/i/web/status/167…",https://twitter.com/antoineelieGZ/status/1674198617182072836?s=20,False
@info_Paris_IDF,"Jun 28, 2023 · 10:58 PM UTC","🔴 ALERTE INFO - Mort de #Nahel à #Nanterre : Un tramway de la ligne #T2 est en feu à #Clamart. Plusieurs dizaine de personnes empêchent l’intervention des pompiers.

👉 Les #tensions sont en cours un peu partout en #IledeFrance. (🎥 Snapchat) #HautsdeSeine #emeutes",https://twitter.com/info_Paris_IDF/status/1674190622607958018?s=20,True
@ScpnCommissaire,"Jun 28, 2023 · 11:13 PM UTC","Soutien à tous les policiers et gendarmes qui travaillent cette nuit pour préserver l’ordre républicain. 
#emeutes #Nahel #Nanterre",https://twitter.com/ScpnCommissaire/status/1674194285476950023?s=20,False
@uwerott,"Jun 28, 2023 · 10:17 PM UTC","New Release
Arrival in Happiness, Kay Uwe Rott 
open.spotify.com/album/4j8ik…

#NewProfilePic #TrendingNow #TikTok #MH370 #digitalart #emeutes #ticketek #FirstDates #แผ่นดินไหว #เจมีไนน์โฟร์ท #SecretInvasion #Nael #Nahel #zib2 #NewMusicAlert #LoveIsland #TBSチャンネル1 #hbogopremium",https://twitter.com/uwerott/status/1674180329127419905?s=20,False
@Wassmanim,"Jun 28, 2023 · 11:35 PM UTC","Translated from French
The town hall of Mons-en-Baroeul (59) stormed and ransacked. The police helmets were stolen. Total chaos in the metropolis of Lille #Nanterre #emeutes #Nahel",https://twitter.com/Wassmanim/status/1674199758678654977?s=20,True
@BenRoques,"Jun 28, 2023 · 11:26 PM UTC",Kingdom Rush by @ironhidegames in real life... #Nanterre #Nael #emeutes #riot #Paris,https://twitter.com/BenRoques/status/1674197640030945283?s=20,True
@ChimChim_Flores,"Jun 28, 2023 · 11:10 PM UTC","I could use your help reaching my fundraising goal. Every single share and donation makes a difference. gofund.me/cbeb083e 
#DearM #pleasehelpme #RUNext #emeutes #HopeStreet #JHOPE  #ENGvAUS #AugustD #JUNGWON #SOJUNGHWAN #sorry",https://twitter.com/ChimChim_Flores/status/1674193610261123072?s=20,False
